"","Sample1","Sample2","Sample3","Sample4","Sample5","Sample6","Sample7","Sample8","Sample9","Sample10","Sample11","Sample12","Sample13","Sample14","Sample15","Sample16","Sample17","Sample18","Sample19","Sample20","Sample21","Sample22","Sample23","Sample24","Sample25","Sample26","Sample27","Sample28","Sample29","Sample30","Sample31","Sample32","Sample33","Sample34","Sample35","Sample36","Sample37","Sample38","Sample39","Sample40","Sample41","Sample42","Sample43","Sample44","Sample45","Sample46","Sample47","Sample48","Sample49","Sample50","Sample51","Sample52","Sample53","Sample54","Sample55","Sample56","Sample57","Sample58","Sample59","Sample60"
"Gene11",-0.2745,-0.4664,0.6514,0.0396,-0.3226,0.0267,0.3259,-0.0825,0.2258,0.0173,-0.127,0.4322,0.4226,-0.2004,0.065,-0.2479,-0.689,-0.0423,-0.1727,-0.0083,0.2801,0.0358,0.1252,0.2452,-0.1017,-0.0309,0.1079,0.2646,0.0363,0.4005,0.0193,-0.4216,0.0326,0.1299,0.001,0.2639,-0.2518,0.2452,-0.4778,0.053,-0.3233,-0.1452,0.2916,-0.1278,0.5745,0.2345,0.0733,-0.0092,-0.0738,-0.1302,0.1316,0.2781,-0.3088,0.2756,-0.0282,-0.2601,-0.1666,-0.1544,0.0331,0.1777
"Gene12",-1.1468,-0.3464,0.1739,0.2936,0.6448,0.191,-0.6816,0.2511,0.0904,-0.4624,-0.3105,-1.4875,-0.3832,0.115,0.2875,-0.6391,-0.9027,1.3474,0.0025,-1.4022,0.332,-0.4871,0.5934,-0.6547,-0.0729,-0.2171,-0.064,0.1695,-0.6259,-0.2722,1.0206,-0.2066,0.1536,0.7025,0.2676,0.4504,-0.3402,-0.1766,0.0942,-0.1138,-0.4373,-0.8356,0.3133,0.3916,-0.2473,-0.62,-0.4884,0.0225,0.162,0.1223,1.0037,-0.2468,-1.127,-0.3934,-0.5922,-0.1564,-0.0398,0.1207,-0.3701,-0.0531
"Gene13",-0.016,0.4022,0.0724,0.2618,-0.8018,0.0036,-0.6084,0.5577,0.4546,-0.2715,-0.471,-0.301,-0.5958,-0.3259,-0.2597,0.4186,-0.0775,0.5969,-0.4741,0.121,0.7657,0.0684,0.4689,-0.4709,-0.1079,0.4109,0.019,-0.062,-0.0183,-1.1084,-0.4177,0.0423,0.1104,-0.1165,0.906,-0.2043,-0.7148,-0.7263,0.2907,0.3294,0.366,0.0608,-0.0429,-0.0457,0.8189,0.5851,-0.6825,-0.2087,0.4481,-0.0823,0.2541,-0.474,-0.1339,0.126,0.0438,-1.1566,-0.4131,0.0929,0.939,-0.494
"Gene14",-0.318,-0.1964,0.4428,-0.0422,-0.1913,0.2738,0.2826,1.1635,-0.414,0.3637,-0.6494,-0.0551,0.2731,0.3746,-0.6298,-0.7665,-0.9881,-0.1642,-0.5172,1.2764,0.4783,1.3575,0.4843,0.6662,-0.4103,0.1868,-0.7567,-0.0442,-0.2663,-0.9439,-0.1595,0.5519,-0.154,0.5409,0.2365,-0.4503,0.9614,0.1813,-1.3911,0.4784,-0.8294,-0.0473,-0.3151,-0.148,-0.2787,0.3369,-0.4961,-0.1295,0.1028,0.6869,1.119,1.1694,-0.7847,0.1865,-0.3049,-0.1359,-0.6007,0.256,0.0507,-0.0648
"Gene15",-0.5261,0.2902,0.7166,0.9817,0.0038,1.2124,-0.5008,1.2176,-1.857,0.0395,-0.2708,-0.0997,-0.8892,-0.2737,-0.0091,-0.525,0.8544,-2.0295,1.859,0.3293,1.2396,-0.1004,-0.0838,-0.9229,-0.4499,-0.9286,0.9523,0.0109,-1.2292,2.1161,0.5604,0.582,-1.0135,1.1828,-0.0112,0.0062,-0.237,-0.0622,-1.28,-0.3798,0.0951,1.0201,0.0322,-0.6892,-0.6525,-0.2478,-1.1567,0.1447,-0.185,-0.089,-1.0194,0.4813,-0.622,-0.4465,-0.7687,0.0207,0.4135,-0.4735,-1.829,1.0413
"Gene16",-0.1104,0.2027,0.3584,0.5511,-0.0505,0.5019,0.1751,0.8401,0.3894,0.5878,0.2764,0.1837,-0.4578,-0.5877,-0.0045,-0.1424,0.0028,-0.3967,-0.0774,-0.4518,0.5759,-0.0299,-0.5178,-0.8476,-0.5872,-0.1194,-0.1147,0.7875,0.1704,0.0297,0.0365,-0.2098,-0.3162,-0.0367,-0.0839,-0.8986,0.6077,0.4281,-0.3948,-0.3954,0.0393,-0.0834,-0.6746,-0.9082,0.4149,0.6495,0.1409,0.5575,0.0739,0.4394,-0.0699,0.817,0.1626,-0.1732,0.1489,0.1819,-0.458,0.4053,0.7688,-0.564
"Gene17",0.0202,0.0339,-0.004,0.1908,-0.1153,-0.3719,0.2948,0.1837,-0.2984,-0.2991,0.1486,0.5217,0.291,-0.38,-0.5541,0.1978,-0.0802,0.6571,0.0826,-0.2089,-0.1466,0.5164,0.2999,-0.265,0.0932,-0.3583,-0.1937,0.0335,-0.7143,0.9048,-0.0814,-0.09,-0.2883,0.154,-0.4831,0.4459,0.2296,0.4244,0.6166,-0.5046,-0.3324,-0.1135,0.1585,-0.0323,0.1295,0.0568,-0.064,-0.2527,0.3662,-0.4824,-0.0187,0.4192,-0.3779,0.1321,0.5017,-0.1124,0.0281,-0.1964,0.07,-0.1582
"Gene18",0.2285,0.0882,0.0803,0.5606,-0.3609,-0.0569,-0.113,-0.2226,-0.2191,-0.029,0.0956,0.3428,0.2029,-0.238,0.511,0.356,0.0133,0.1817,0.0757,-0.0032,-0.0401,0.1194,-0.2767,0.0173,0.1147,-0.2792,0.4629,-0.3974,-0.2479,-0.1474,0.3215,0.2224,0.5498,-2e-04,0.1567,0.5866,-0.0578,0.1697,0.5634,0.2048,-0.3367,0.1579,0.2467,0.2121,0.057,-0.0702,-0.1541,-0.0872,0.1522,0.0686,0.1687,0.1051,0.1369,-0.1254,-0.0613,0.0967,0.1106,-0.0617,0.0391,0.2191
"Gene19",-0.0233,0.1095,0.2008,0.1577,0.151,-0.1212,0.4045,0.6388,0.5327,0.0531,0.4259,-0.0612,0.0685,0.1571,-0.4125,0.1198,-0.2653,0.4346,-0.0623,-0.0781,0.2129,-0.0265,0.4242,0.3058,0.2024,0.2918,0.1255,0.1956,-0.198,-0.2686,0.174,-0.0729,0.1116,0.084,0.0571,-0.0429,0.3312,0.2834,0.3509,0.0853,0.349,-0.0484,0.2041,-0.0542,-0.2869,0.4369,0.0152,-0.0675,0.2381,0.3334,-0.0632,-0.1238,0.391,-0.2129,0.0797,0.4204,-0.5836,0.2881,0.0887,-0.346
"Gene20",-0.5015,-0.1079,0.3032,-0.432,-0.0492,-0.7206,-0.7218,-0.2131,0.2783,0.2992,0.2063,0.1152,-0.2084,-0.0488,-0.1772,-0.0206,-0.2077,0.3678,-0.0275,-0.1492,-0.3859,-0.0291,0.519,-0.1834,0.271,-0.7594,-0.2056,-0.0257,0.6293,0.035,0.3098,-0.6892,-0.2084,-0.1104,0.0159,-0.2245,-0.7599,-0.303,0.0465,0.1852,-0.1004,0.0527,-0.2679,-0.1785,0.3198,-0.5957,0.3793,0.2258,0.0902,-0.8918,0.6792,0.1894,0.0175,-0.1964,-0.0468,0.1204,0.5616,-0.6497,-0.1296,-0.1009
"Gene21",-0.4203,-0.0777,-0.9368,-1.1408,-0.339,2.0968,0.2373,0.4002,-0.6175,-1.0426,0.0204,1.5352,2.5126,-0.7117,0.2983,-0.3812,-0.5584,-0.4509,-1.0819,0.7504,-0.2167,1.1268,0.3215,-0.8186,-2.1814,-0.1945,-0.4812,0.1388,1.0777,-0.0976,1.5461,0.5359,-1.5355,-0.3277,0.8036,1.7102,-0.1689,-0.8534,-0.5612,-0.4982,0.895,0.9204,0.1493,-1.0702,0.5932,-0.3362,0.3044,-0.5381,-0.1096,-1.4839,1.1031,0.806,0.4475,-0.1265,1.8428,0.276,-0.0573,0.3356,-0.3084,-1.0318
"Gene22",-0.452,0.0308,-0.779,-0.3172,0.1629,-0.1694,0.0804,-0.0715,-0.2113,0.0634,0.0928,0.4509,-0.4904,0.2277,0.1577,0.2196,-0.3586,0.0597,-0.3614,-0.2161,-0.5004,-0.0616,0.0895,-0.1752,-0.0487,-0.2912,0.0981,-0.1556,-0.247,0.1654,-0.6068,0.6977,-0.0736,-0.2042,-0.0978,0.2695,0.0832,-0.6999,0.4995,0.1177,0.2758,0.306,-0.1384,0.3082,0.0968,0.2261,0.2573,-0.0559,0.0953,-0.2546,0.0561,0.2396,-0.0862,-0.1109,0.4596,-0.3204,0.0683,0.0437,-0.2265,0.2059
"Gene23",0.0577,0.2369,0.773,-0.1168,-0.6267,0.0878,-0.2596,-0.1539,0.2682,0.7701,0.7369,0.5744,-0.539,-1.1036,0.1889,-0.2618,0.1087,0.4155,-0.7867,-0.0149,-0.8974,0.1882,1.047,0.2269,0.4651,-1.1978,-0.8863,0.4166,0.3909,0.2983,1.5779,-0.868,0.294,-0.3726,-0.2872,0.0621,0.0273,-0.4429,-0.7202,-0.4499,0.2601,0.4063,-0.5182,0.3866,0.9928,0.3518,0.1279,0.4729,-0.4141,-0.6652,-0.0704,0.0827,0.7351,-0.0314,0.6867,0.0514,0.476,-0.5381,-0.0771,-0.2221
"Gene24",0.0492,-0.1717,-0.3251,-0.0483,-0.1198,0.4579,0.123,-0.2653,0.4024,0.1237,0.1976,-0.0013,0.0478,-0.4832,0.0711,0.0884,-0.0147,0.3904,-0.038,0.0972,-0.163,0.3512,-0.0697,-0.0696,-0.346,0.2424,0.2255,-0.3941,0.3252,-0.1579,-0.563,0.0891,0.0683,-0.1995,0.1979,-0.3481,-0.0664,-0.3328,0.049,0.489,0.1259,-0.0881,0.1123,0.4463,0.1944,-0.0558,0.0199,-0.28,0.0275,-0.0828,0.3288,0.0904,0.0606,-0.338,-0.017,-0.5629,0.0629,-0.2617,-0.335,-0.1946
"Gene25",-0.1033,-0.0921,0.0847,-0.2559,0.4372,-0.5215,-0.4903,0.0134,0.6409,0.126,-0.0845,0.6008,-0.443,0.5597,-0.5804,0.6717,0.0313,0.3202,0.177,0.2154,-0.1012,0.6547,0.6154,0.7385,0.6467,-0.0844,-0.6616,0.2038,-0.1683,-0.3397,0.4398,0.1703,0.3169,0.6673,0.114,0.6886,-0.2827,0.3557,-0.0305,-0.373,0.112,-0.5031,-0.3034,0.0391,0.3634,-0.4701,0.8908,0.4121,1.0007,-0.1418,0.3843,-0.3015,0.6985,0.413,-0.0896,0.3634,0.2329,0.2573,0.3956,-0.2086
"Gene26",-0.0286,0.0307,0.379,0.1006,0.0045,-0.4462,-0.0598,0.1627,0.0367,0.2763,-0.4001,0.1701,-0.2194,0.1707,0.0666,0.4575,-0.5129,0.3789,0.0799,-0.2713,-0.6413,-5e-04,-0.2077,0.3638,-0.2503,-0.7544,-0.0511,-0.1871,0.3676,-0.5758,0.4946,-0.4865,-0.4314,-0.1507,-0.1747,-0.4965,-0.1417,-0.8331,-0.5854,0.2543,0.1925,-0.5258,-0.3831,0.2561,-0.0528,-0.1369,-0.1248,-0.2768,-0.7216,-0.2712,0.2948,-0.426,0.9811,-0.3994,0.0013,-0.0437,0.3284,-0.4261,0.0069,-0.5156
"Gene27",-0.0785,0.2137,-0.3244,-0.0039,-0.2738,-0.2269,-0.12,-0.4795,-0.2894,0.0384,-0.1264,0.4317,0.0233,-0.1429,0.1311,0.0925,0.2012,-0.2892,0.2544,-0.274,-0.0811,-0.2047,-0.1465,-0.2657,-0.4503,-0.0016,0.1985,0.0843,-0.1605,-0.4496,-0.1541,-0.0451,-0.3637,0.1968,0.4139,-0.0656,-0.0735,-0.0437,-0.2908,0.134,0.5405,-0.2989,-0.2645,-0.1268,0.1375,0.2942,0.0772,-0.2482,0.4921,0.1257,0.0426,-0.6158,0.4282,-0.6076,0.4585,0.1691,0.0099,-0.0696,-0.0169,0.071
"Gene28",-0.4015,0.3235,0.5784,0.3777,0.634,-0.3567,-0.4543,0.3517,0.045,0.1263,-0.2623,0.3627,-0.0072,0.0079,-0.1036,0.3243,0.2139,-0.4652,-0.0521,-0.0647,0.4156,0.0895,0.1547,0.3775,-0.4852,-0.0646,0.3978,0.2298,0.1011,0.2032,-0.1591,0.0954,0.1558,0.143,-0.1403,0.2005,0.742,-0.5929,0.0301,0.2365,-0.3038,0.1227,-0.3643,-0.0792,0.2983,-0.4465,-0.4525,0.5213,-0.3735,-0.0565,-0.4717,-0.2074,0.7547,0.4818,0.1186,0.239,0.0883,0.157,0.8151,-0.0962
"Gene29",0.2062,-0.0915,-0.4496,-0.2402,0.2302,-0.3192,-0.0361,-0.0944,0.0697,-0.1855,0.0362,0.0165,0.0313,-0.1636,-0.1284,-0.4191,-0.1903,-0.0865,0.0067,-0.1529,0.0502,0.023,0.3732,-0.1164,0.2814,0.1374,-0.4117,-0.2443,-0.014,0.1454,-0.1844,0.0731,-0.1003,-0.0635,-0.3545,-0.0899,0.2701,0.2359,-0.242,0.069,0.0389,-0.2612,-0.1182,-0.4568,-0.0153,0.0057,-0.196,-0.2901,0.0041,0.3264,-0.4697,-0.0333,0.1814,0.0249,0.0821,0.3064,-0.2312,0.1555,0.2142,-0.7186
"Gene30",0.4652,0.256,0.0851,0.4684,1.0516,0.4143,0.6614,-1.3734,1.1094,0.4724,0.3843,-0.7142,0.6159,0.6655,0.5344,-0.8824,0.9756,-0.0754,0.603,1.429,-1.2399,-0.3793,0.1938,0.3345,0.3781,0.8232,0.5226,0.2205,0.4068,0.5486,-0.7223,-0.236,0.9625,-0.0769,-0.638,0.408,1.5087,1.1189,0.1634,-1.4287,-0.1722,1.4082,1.0158,-1.1737,-0.2686,0.796,0.1824,-0.4657,-0.6044,1.006,-0.6692,0.9522,0.2229,0.7775,0.1331,0.881,-0.0056,-0.6439,-0.5076,0.0673
"Gene31",-0.3359,0.1876,-0.4339,-0.3265,0.4676,0.0678,-0.0341,0.5384,-0.3632,0.5248,-0.1755,0.165,-0.4656,-0.1696,0.0477,0.1359,-0.4163,0.2898,-0.659,0.4636,-0.1061,-0.2841,-0.3298,0.2257,0.4884,-0.1794,-0.1796,0.3893,0.608,-0.2569,-0.8267,-0.0998,-0.1805,0.173,0.598,-0.3731,-0.4165,-0.1133,0.3601,0.3931,0.2264,0.0358,-0.322,0.1768,-0.0031,-0.1595,-0.0926,0.0033,0.1924,0.1815,0.3613,-0.5316,-0.4237,0.9049,-0.3869,0.6181,0.6929,0.0854,0.0438,-0.2444
"Gene32",-0.1232,-0.0149,-0.2931,-0.041,-0.3011,-0.2934,0.0289,-0.4805,-0.0687,0.0843,-0.1012,0.0344,-0.0805,0.0941,-0.3807,0.015,-0.3203,-0.2214,-0.0537,0.1997,-0.415,-0.2255,0.178,0.2834,0.2537,-0.1671,-0.1404,-0.2453,-0.1168,-0.2667,-0.1826,-0.0703,-0.0512,-0.0873,0.0129,0.2778,0.0142,-0.1342,-0.1919,-0.0782,-0.0658,-0.5956,0.2344,-0.0601,-0.1911,0.3132,0.0156,-0.307,-0.1337,-0.0083,-0.134,0.06,-0.1412,-0.0031,-0.0535,-0.0067,-0.1249,0.1571,-0.0661,-0.1564
"Gene33",0.5312,-0.1993,0.4347,0.1443,0.3637,-0.2479,-0.3743,0.0728,-0.043,0.5692,-0.1165,-0.0842,-0.1666,0.1505,0.2224,-0.3064,-0.1517,0.0993,-0.1602,0.0259,0.0018,0.1881,-0.6709,-0.0888,0.257,0.0099,0.0442,0.0792,-0.2871,-0.0726,0.2705,-0.1624,0.2093,0.0911,0.1984,-0.3653,0.1784,0.2195,-0.3336,-0.6213,-0.2665,0.698,-0.2127,-0.0989,0.2816,-0.0527,-0.3013,-0.0069,0.0514,-0.0509,0.0492,0.0504,-0.4188,0.3719,-0.3781,0.1408,-0.1642,0.1206,0.3473,0.0294
"Gene34",0.5754,1.0661,-0.8927,0.213,-0.3486,-0.5935,0.0933,-0.496,-0.763,0.0416,0.041,0.4463,0.7517,-0.4139,-0.643,-1.1344,-0.6271,0.047,0.6881,-0.1489,0.1814,-0.1882,-0.1614,0.702,-0.0542,0.2127,0.336,0.7327,-1.3907,0.5174,0.2639,-0.1958,-0.1172,-0.4912,-0.3432,-0.0486,0.6114,-0.43,-0.3326,0.7274,0.2326,0.5973,1.2422,-0.297,0.0238,-0.1673,0.0832,-0.1736,-0.8482,-1.202,0.2431,-0.1636,-0.0366,0.7907,-0.3886,-0.0496,0.6641,-0.2636,-0.6588,0.5071
"Gene35",0.0509,-0.5301,-0.2064,-0.3009,-0.5031,-0.1192,0.0677,-0.3153,-0.3716,0.5858,-0.1162,0.0836,0.7838,-0.3966,0.3754,-0.1625,-0.4911,0.4859,-0.2179,-0.0309,-0.307,-0.2597,0.2619,0.2842,-0.585,-0.1841,-0.0717,-0.2502,0.19,-0.1093,-0.4089,-0.451,-0.4841,-0.0096,-0.0638,-0.392,-0.0057,-0.3903,-0.596,0.164,-0.2312,0.033,0.0882,-0.2694,0.1488,0.417,-0.202,-0.367,-0.6484,0.053,-0.3093,0.5819,0.2457,-0.1866,0.2014,-0.5637,0.4511,-0.5126,-0.2491,-0.0421
"Gene36",-0.3632,-1.0357,0.9621,-0.515,-0.2384,1.0471,0.4087,-1.0211,0.1474,1.0874,-0.2523,-0.5779,0.5925,0.5897,-0.1048,0.4704,0.048,-0.3798,-0.2078,0.1827,0.0055,0.5129,1.1544,-0.1004,0.1702,0.1049,0.418,-0.9594,1.544,-0.2153,-0.3538,0.2412,-0.693,-0.3466,0.1721,0.3673,-0.4559,0.6391,-0.8768,0.2089,0.2688,0.6358,-0.8506,0.7056,0.2089,-0.4268,-0.0741,0.5794,0.2902,-0.3556,0.5838,-1.5953,1.0312,-0.7469,-0.9855,0.5866,-0.2614,-0.849,0.0404,-0.2691
"Gene37",0.4431,0.8437,-0.1015,0.5938,0.323,0.5371,0.724,-0.1199,-0.5055,-0.9644,0.0564,-0.4143,0.0546,0.2026,0.2337,-0.6021,0.3768,-0.3879,1.142,0.4128,0.2393,-0.0253,0.2009,0.2946,-0.063,0.7095,0.547,0.0579,-0.2421,0.4312,-0.1883,0.6365,0.5069,0.3843,0.9859,-0.3422,0.7279,0.8126,0.76,-0.5712,-0.2338,0.249,0.5637,-1.1112,-0.2436,0.5705,-0.1931,0.0474,-0.0017,0.782,-0.8109,0.6124,-0.3139,-0.4927,-0.0925,-0.1304,-0.5128,0.3805,0.1323,0.4462
"Gene38",-0.1919,0.0541,0.1062,0.0711,0.0817,-0.037,0.2943,-0.2665,0.0169,0.0335,-0.262,-0.2688,0.0327,0.2195,0.0286,0.0563,-0.1193,0.3271,-0.0836,0.0458,-0.2415,0.1232,-0.1842,-0.0792,0.0566,-0.0028,0.0368,-0.1246,0.0445,0.1417,0.4642,0.1063,-0.0535,0.048,0.1041,0.1472,0.0697,-0.3372,-0.003,0.1073,-0.1662,0.0091,0.334,-0.0507,-0.2067,-0.1383,0.0403,-0.0694,0.2676,0.0737,0.0781,0.0191,0.0333,-0.1727,0.1261,0.1031,0.2209,0.1879,-0.1502,-0.0038
"Gene39",-0.1415,-0.2345,-0.2468,-0.0287,0.2884,0.0823,-0.1076,0.0379,0.3901,0.0527,-0.0795,-0.1625,-0.0147,-0.2013,0.0333,0.0574,-0.2633,0.2394,-0.0463,-0.2135,0.029,-0.3842,0.4147,-0.0253,-0.0962,0.3651,-0.2995,-0.3552,-0.2578,0.29,0.0143,0.2945,-0.0471,-0.0894,0.2085,-0.155,0.0288,-0.1713,-0.3205,0.3637,-0.2659,0.0209,0.4354,-0.4451,-0.3909,-0.2063,-0.1901,-0.0204,0.1707,0.0588,-0.3238,-0.0903,-0.2781,-0.191,0.1877,0.1782,-0.2488,-0.4364,0.1322,0.2241
"Gene40",0.1628,0.3574,0.602,1.3308,1.0462,-0.3815,-0.2678,-0.4602,-0.9805,-0.1748,-0.6215,0.4042,0.2413,1.3424,0.7596,-0.3192,0.387,-0.3969,-0.438,-0.7633,-0.2839,0.8899,-0.7389,-0.0471,-0.0078,-0.1311,0.9759,0.2326,0.5909,-0.16,-1.8363,0.8706,-0.4552,0.3077,0.1866,0.1875,-0.2141,0.9259,0.5042,-0.4695,0.2418,0.439,0.493,-0.7075,0.3107,0.3451,0.6162,0.5639,-0.5327,-0.013,-0.1909,0.0065,-1.0185,-0.7939,-0.5864,-0.8842,-0.5997,1.1461,0.0167,0.4545
