"","Donor1","Donor2","Donor3","Donor4","Donor5","Donor6","Donor7","Donor8","Donor9","Donor10","Donor11","Donor12","Donor13","Donor14","Donor15","Donor16","Donor17","Donor18","Donor19","Donor20","Donor21","Donor22","Donor23","Donor24","Donor25","Donor26","Donor27","Donor28","Donor29","Donor30","Donor31","Donor32","Donor33","Donor34","Donor35","Donor36","Donor37","Donor38","Donor39","Donor40","Donor41","Donor42","Donor43","Donor44","Donor45","Donor46","Donor47","Donor48","Donor49","Donor50","Donor51","Donor52","Donor53","Donor54","Donor55","Donor56","Donor57","Donor58","Donor59","Donor60","Donor61","Donor62","Donor63","Donor64","Donor65","Donor66","Donor67","Donor68","Donor69","Donor70","Donor71","Donor72","Donor73","Donor74","Donor75","Donor76","Donor77","Donor78","Donor79","Donor80","Donor81","Donor82","Donor83","Donor84","Donor85","Donor86","Donor87","Donor88","Donor89","Donor90","Donor91","Donor92","Donor93","Donor94","Donor95","Donor96","Donor97","Donor98","Donor99","Donor100","Donor101","Donor102","Donor103","Donor104","Donor105","Donor106","Donor107","Donor108","Donor109","Donor110","Donor111","Donor112","Donor113","Donor114","Donor115","Donor116","Donor117","Donor118","Donor119","Donor120","Donor121","Donor122","Donor123","Donor124","Donor125","Donor126","Donor127","Donor128","Donor129","Donor130","Donor131","Donor132","Donor133","Donor134","Donor135","Donor136","Donor137","Donor138","Donor139","Donor140","Donor141","Donor142","Donor143","Donor144","Donor145","Donor146","Donor147","Donor148","Donor149","Donor150","Donor151","Donor152","Donor153","Donor154","Donor155","Donor156","Donor157","Donor158","Donor159","Donor160","Donor161","Donor162","Donor163","Donor164","Donor165","Donor166","Donor167","Donor168","Donor169","Donor170","Donor171","Donor172","Donor173","Donor174","Donor175","Donor176","Donor177","Donor178","Donor179","Donor180","Donor181","Donor182","Donor183","Donor184","Donor185","Donor186","Donor187"
"ENSG00000162643.12_WDR63",-1.0125,1.3894,-0.9318,1.3661,-0.0949,2.1974,-1.0378,-0.9467,-0.5408,-0.2065,-0.4344,0.8663,-0.7955,0.037,-1.1663,-2.9537,1.6168,0.3137,-0.0311,-0.7842,1.026,-0.0026,1.7028,-0.0509,-0.4776,0.312,-0.9663,1.9626,0.4748,0.9742,0.4008,-1.1844,-1.3355,0.2234,0.064,-2.0438,0.4097,0.2137,1.2465,0.9663,-0.6474,1.4843,0.032,0.538,0.4885,-0.9005,-1.0851,0.0122,0.1318,-2.7832,-0.3141,0.0706,-2.5674,0.0237,-0.7476,1.2722,0.7661,0.2274,-1.564,0.9566,0.0255,1.3662,0.2814,0.7135,-1.6185,-0.2913,1.1334,-0.5152,1.5589,-2.6578,1.0159,0.9119,1.3195,1.5114,-0.9123,-3.3492,-0.0981,-0.4778,0.0819,0.8464,-0.822,0.2138,2.0089,-0.7383,0.1593,-0.6279,1.4743,-1.7131,-1.3143,1.3352,-1.4288,0.3618,1.6955,-0.0147,0.7388,0.3532,1.8267,-0.3871,-0.7912,1.1037,-1.7259,0.3771,1.2624,1.3068,0.2643,0.3599,1.7913,1.3005,0.227,-1.0291,-2.5095,-0.4868,0.2566,0.0636,1.6513,1.6896,0.0123,-1.5415,-0.2696,-0.6427,-0.0059,-0.9652,-0.3648,-0.3295,0.6627,0.4927,-0.4857,0.0074,-0.9413,-0.1292,0.9553,-3.6636,0.0645,-1.4538,-0.3015,0.4126,-1.4049,-1.7109,-0.6686,0.7747,0.2026,-1.4932,-0.2877,0.9721,0.3973,0.4949,1.5189,0.3263,0.4695,-0.6801,-0.6226,0.9467,1.4411,-2.024,1.7636,-1.6522,-0.3345,1.5412,-0.7445,-0.0363,1.4637,-1.741,0.8632,-0.3693,-0.5087,-0.9998,0.4487,-1.3864,-0.8096,1.361,-0.945,1.759,1.0569,1.2983,-0.7006,1.2812,0.2369,0.2611,1.1135,0.3655,-1.7258,1.2923,-0.6671,1.5465,-1.8993,0.9575,0.506
"ENSG00000055732.12_MCOLN3",-1.0385,1.4823,-2.3231,0.4253,-0.8228,2.6663,-1.2697,0.2498,0.1046,0.4436,-0.616,0.742,-1.1021,0.1412,-1.3035,-1.8787,1.286,-0.2254,-0.0716,0.236,0.6804,0.1575,1.5248,-0.331,-0.7104,-0.3241,-0.0663,1.2719,0.8468,0.4866,-0.0106,0.319,-0.4269,-0.9414,0.449,-0.9047,0.8195,0.2495,2.1109,1.4177,-1.2571,1.0038,0.8653,0.635,1.5086,-0.7483,-0.7197,0.3692,-0.4762,-2.4166,-0.3261,-0.4716,-2.8954,-0.2055,-0.4442,0.5086,0.508,0.3227,-1.1742,0.7011,-0.5158,0.6598,0.7817,0.7146,0.4103,0.475,0.8789,-0.3579,1.995,-3.5444,1.9489,0.7104,1.0481,0.8912,-0.2176,-2.5644,0.1895,0.0517,0.4284,0.5638,-0.9991,0.6219,1.6903,-0.5853,0.091,-0.7292,1.2029,-1.4403,-0.437,1.4791,-0.1557,0.7791,2.0192,-0.0853,0.6099,-0.4489,1.9767,-0.8483,-0.024,0.4068,-1.5056,1.0739,1.441,1.0658,0.1329,0.9586,1.489,0.5765,-0.4579,-0.9497,-1.5033,-0.6274,0.6693,-0.285,0.2707,0.1506,-0.5929,-1.0945,-1.4436,-0.6236,0.2569,-0.3079,-0.7983,-0.1951,0.1485,0.1407,-0.9727,-0.014,-0.4693,-0.2413,0.5401,-1.4755,-0.4672,-1.0005,-0.2407,0.3446,-1.6948,0.071,-0.7909,0.7344,0.0029,-0.3328,-0.1036,0.3944,-0.3826,0.6725,1.3809,0.0465,0.2495,-0.9353,-0.2437,0.4325,0.7695,-1.2165,0.6403,-0.916,-0.5351,1.1197,-0.3427,0.3442,0.2025,-2.6249,0.3838,0.3556,-1.1107,-0.4468,0.2151,-1.4174,-1.2822,1.0665,0.056,0.8912,0.8765,0.1958,-0.0264,1.2316,-0.1159,-0.1021,0.7852,-0.6432,-1.1666,1.0167,-0.1567,0.1852,-2.0493,0.9964,0.624
"ENSG00000153904.18_DDAH1",-0.9569,0.3779,0.2075,0.8421,0.5507,-0.4426,0.5408,-0.0335,0.0882,0.3743,-0.5967,-0.1874,-0.6321,-0.5908,0.1439,-1.0544,0.3674,0.2932,0.4438,-0.1066,0.4268,-0.297,-0.1001,0.1326,-0.5686,0.9875,-0.4181,0.1362,0.0912,0.8657,-0.4083,-0.6271,-0.1797,-0.6409,-0.2827,-0.3536,0.117,-0.0533,0.484,-0.0124,0.1821,-0.0465,1.0971,-0.0292,-0.5276,0.4101,-0.5298,-0.2654,-0.4256,-0.5243,1.0956,0.0348,0.087,0.1261,0.4879,0.839,0.6435,-0.0188,0.3155,-0.1973,0.4111,-0.2417,0.0946,0.2862,-0.2105,-0.0431,0.1563,0.6535,-0.4934,-0.4424,-0.2981,-0.1717,0.0848,-0.4443,0.6447,-1.2872,-0.299,0.5401,0.7717,0.2214,0.2419,-0.605,-0.7852,-0.1387,-0.0598,-1.0018,-1.0149,-0.3193,-0.6098,0.1876,-0.2327,-0.4229,-0.2019,1.0732,0.0205,0.2588,0.2237,0.5652,-0.3217,0.8441,-0.9593,0.1222,-0.3122,0.3425,-0.5071,-0.3892,-1.2784,0.3954,-0.0829,-0.3239,-1.7151,-0.4868,-0.0142,0.0953,0.6494,0.2597,0.0063,0.6303,-0.0567,-0.6783,0.583,-0.2924,0.4699,0.5048,-0.6285,-0.3693,-0.5653,-0.1604,0.0187,-0.9718,-0.3594,-0.4361,-0.555,0.3783,0.0286,0.2487,-1.0899,-0.0081,-0.6635,-0.432,0.2482,-0.4082,0.3999,0.865,0.6385,-0.0796,0.1763,0.2327,0.4317,0.0088,-0.0674,0.017,-0.0997,-0.0667,0.0265,-0.6126,-0.7092,0.7837,-0.055,3e-04,0.7745,-0.1534,0.1708,0.145,-0.4236,-0.3206,0.6562,-0.0423,0.6233,0.064,0.0128,0.8142,0.5775,-0.1191,-0.0746,0.4259,0.1395,0.1246,0.6749,0.5883,0.2249,0.1612,0.1886,0.6217,0.6827,0.8159,0.2033
"ENSG00000142871.16_CYR61",-0.9926,0.9405,-1.1381,1.5098,0.4027,2.8415,0.9676,-0.7576,-2.5742,0.757,-0.1457,0.2821,-1.1642,-0.4177,-0.3502,0.9451,-0.7494,2.8723,-0.7235,-2.037,0.5194,0.5813,-1.436,-1.1815,2.8935,-0.2079,0.281,0.0078,-0.296,-0.646,0.9269,1.5841,-0.7102,0.3205,-0.2141,-0.5903,-0.9198,0.5541,0.4617,2.8985,1.0946,0.8746,-0.9305,-1.7212,0.5537,-1.0588,-1.6742,0.9347,-2.9451,4.0993,-2.228,1.9037,1.5677,-0.3868,-0.4007,-0.8627,-0.0068,0.7505,1.2939,1.8612,-1.2206,-0.1677,-1.7306,-1.7034,1.6748,1.7033,-2.6047,0.525,1.2469,1.2695,3.2717,-0.4636,-0.1718,0.4507,-0.2139,2.3126,-0.8341,-0.7746,-0.2133,1.67,0.4751,-1.3247,2.8842,-0.1829,-0.8396,2.0678,1.4694,-0.0391,0.5995,-0.6219,-0.5569,0.403,1.5046,2.298,0.0595,-0.6759,1.5289,1.0987,-1.194,0.0509,-0.4055,-0.9477,-0.3028,1.2538,1.0165,-3.2735,3.1968,0.201,0.6025,-0.695,-1.5559,-2.5675,0.2588,-2.2761,-0.2199,-1.4994,-2.2224,0.1518,-0.5825,-0.9261,-1.3559,-0.5227,-0.9894,-1.9708,0.6878,-1.2944,0.2543,0.1474,-0.3638,1.1449,-0.5001,1.7476,0.7122,0.3683,0.8381,-0.4353,-1.4312,0.4591,-0.7174,1.031,1.2415,-0.92,1.5851,-1.4394,-1.713,-0.329,-1.2469,0.2909,-2.3342,-0.399,-0.2831,-0.0155,-1.4646,0.7699,-1.5281,-0.5771,0.188,0.4915,1.9132,-0.9369,-1.6075,2.1805,-2.1861,-0.5458,1.9111,-1.8453,-0.0802,-1.1646,1.0629,1.2237,-1.2813,-1.5343,0.7933,0.5077,0.2625,-0.7596,0.5788,0.4404,0.5915,0.1344,0.7935,-0.4658,0.9646,-1.6516,-1.0158,1.3032,0.0348
"ENSG00000117226.11_GBP3",-0.5339,0.2514,0.1118,-3.0333,-0.5607,-0.1955,0.0772,-0.3899,-0.5126,-0.5935,0.2028,0.8422,0.2218,0.9517,-2.6375,-1.2199,-0.2498,0.6636,0.8085,-0.3858,0.6604,0.5408,0.2203,-0.4282,-0.5038,0.5869,0.7779,-0.0295,0.8091,0.7601,1.0573,0.174,0.2958,-0.6812,0.784,0.1223,-0.0988,-0.6796,0.0204,-0.513,-0.8885,0.5147,-0.5993,-0.0895,-0.718,0.6903,0.6958,-2.3581,-0.1228,-0.2423,-0.5392,0.313,-0.1024,-0.3199,-0.3356,0.756,-0.3003,-0.3024,0.2928,0.2213,0.6368,0.636,-2.5168,0.0458,0.1228,0.734,0.6833,0.7862,-0.4918,-0.2226,-0.5868,-0.22,0.7493,-0.0807,-0.5126,-1.4148,-0.3263,0.7871,1.1479,-0.3575,1.6624,0.5211,-2.2734,-0.4669,-1.9942,-0.2573,-0.3365,-0.0298,-0.6455,-0.0811,0.5687,0.7082,0.0366,0.6236,-1.8242,0.4118,0.4079,0.1012,0.0547,0.5824,-0.7159,-0.5477,0.0296,0.6208,-0.6894,0.7416,-0.0302,0.626,0.1694,0.9641,0.0566,0.2911,1.2768,-0.4103,0.8227,1.0365,0.7563,-0.021,0.9132,-0.2106,0.4201,-0.5757,0.5965,-0.0017,-0.4252,0.0526,0.6658,0.0712,-0.499,0.4886,0.6099,-1.0155,0.4552,-1.1291,0.4625,0.4246,0.6901,-0.6998,0.6229,-0.2601,0.3313,0.6811,1.2211,-0.2122,-0.1175,-2.1055,0.1678,0.0547,-0.8304,-0.5136,0.0983,0.4995,-0.4308,0.5479,0.4139,-0.2037,0.5025,0.2494,-2.4049,0.0785,0.6787,0.9934,0.8928,0.6429,0.7812,-0.779,-0.659,1.0914,0.3729,-0.292,-0.3357,0.8014,-0.193,-0.4097,0.9356,-0.1267,0.4411,-2.2244,-0.2957,0.5536,1.1878,0.3347,0.4963,-2.2397,0.7329,-0.1152,0.4446
"ENSG00000117228.9_GBP1",-0.2711,-0.4099,-0.8177,0.1584,-0.0372,0.7921,-0.2798,-0.1406,-1.0596,0.0897,-0.4247,-0.1261,0.0174,-0.5399,-0.0835,-0.7675,-0.6778,1.058,-0.1022,-0.9903,0.5064,0.1958,-0.8486,-0.5888,0.6723,-0.0635,-0.2506,-0.2929,0.0229,-0.5959,0.2679,0.4164,-0.3483,-0.1255,0.0884,-0.2905,-0.0208,-0.3993,0.5535,0.8491,0.0168,-0.7382,-0.856,-0.5424,-0.3567,-0.5036,0.418,0.2839,0.0244,1.0871,-0.5599,0.05,0.4076,-0.5503,-0.4629,-0.8493,-0.1347,-0.4826,0.2978,-0.0775,-0.0706,-0.062,-0.4682,0.0302,-0.0823,0.6458,-0.1655,-0.2428,0.0967,-0.2025,0.8494,0.8763,-0.5706,0.301,-0.3932,-0.7625,0.0277,0.3112,0.6995,0.2876,1.4417,0.1039,1.1644,0.0186,0.1542,0.677,-0.4763,-0.2238,0.3544,-0.35,-0.1811,0.4097,1.0527,0.2817,0.0609,-0.1034,1.8545,0.0326,-0.2851,-0.1838,-0.4312,0.1851,-0.1001,0.3325,0.2124,0.6565,1.2148,-0.3165,0.2338,0.345,0.0898,-0.5875,0.1345,0.0428,0.2366,-0.1923,-0.2176,0.7133,0.1564,0.5736,-0.6422,-0.0222,0.4188,-0.135,-0.3483,-0.0996,0.4401,0.1233,-0.2012,1.0341,-0.5257,-1.0936,-0.5982,-0.3803,-0.0045,-0.5215,-0.1522,-1.7437,0.3636,0.7425,0.488,-0.2889,0.8452,-0.5931,-0.3146,0.396,0.9671,-0.7463,-0.9292,-0.2643,0.6552,-0.3209,-0.2013,-0.1829,-0.2891,-0.1437,1.8765,-0.6867,1.1462,-0.2807,-0.4455,0.0902,-0.0582,-0.4188,0.5992,-0.2567,-0.2541,1.3271,0.1097,-0.063,0.0363,-0.4476,-0.35,-0.2495,0.5025,-0.1068,-0.0231,-0.3177,-0.2201,0.6734,1.2557,-0.4518,0.6969,-0.4877,-0.1673,-0.0542,-0.5028
"ENSG00000162645.12_GBP2",0.3759,0.3278,0.1801,-1.1892,-0.4345,-1.4239,-0.0317,0.4606,-0.0962,-0.2419,-0.1029,0.1993,1.4852,0.8998,-0.3069,-2.8557,0.2813,-0.2379,0.4859,0.3693,0.9298,0.5709,-0.5721,0.5832,-0.0339,0.6417,0.9207,-1.7288,0.6557,0.2335,0.1581,0.254,-0.0958,-1.2801,0.8219,-0.0704,0.6726,-0.196,-0.5336,-0.7655,-0.4922,-0.2534,0.4168,0.4072,-1.6383,1.4099,0.5815,-0.6148,0.5512,-0.9883,0.4102,-0.2772,0.6173,-0.2788,0.7099,0.0419,-0.3558,0.472,0.6637,-0.1534,0.5382,-0.6819,0.3962,0.0285,-1.3882,0.1064,0.2269,-0.0615,-1.3477,-0.4494,-0.2826,-0.1328,-0.4223,-1.0373,0.466,-3.1688,0.2085,1.4047,0.0479,0.0817,1.6589,0.0469,-0.8591,-1.0335,0.0985,-0.3874,-1.0949,0.4737,0.5058,-0.149,1.8866,0.4655,-0.4724,-0.1772,0.0709,1.1619,-0.4201,1.0516,1.2451,-0.1093,-0.2323,0.0176,-0.8494,-0.7962,0.5762,0.5907,0.0284,0.653,0.3822,1.0012,-2.9213,0.9646,0.6921,-0.7715,-0.2104,-0.4152,0.3184,0.3749,-1.049,0.5907,-0.2523,0.2923,1.3001,0.6004,-0.569,-0.0461,0.9008,0.3737,0.16,0.4161,0.1839,-1.808,-1.2392,-0.4692,-8e-04,0.0647,0.9813,-2.0342,-0.8778,-0.3852,0.195,-0.2568,1.2456,-0.0638,-0.2484,-0.2787,1.1033,0.0982,0.3266,-1.2409,-0.0083,0.0064,-0.7849,0.3516,-0.7035,-0.1851,0.9034,0.2161,0.4611,-0.1963,-0.0211,0.2295,-0.9383,0.5096,-1.1416,-0.8483,-0.0356,1.0886,0.0256,-0.5414,0.8536,-0.1541,-1.1305,-0.6841,0.8825,-0.4104,0.6032,0.2733,-0.0457,0.4488,1.0866,0.6419,1.3702,0.2705,0.803,-0.0883,0.4409
"ENSG00000162654.8_GBP4",-0.3951,-0.2881,0.1986,-0.7867,0.4021,0.4644,-0.009,-0.2545,-0.0961,0.318,-0.3541,-0.1754,-0.706,-0.3327,-0.1914,-0.0773,-0.3934,0.3033,0.1148,-0.1363,0.3901,0.2285,-0.4445,0.1063,0.2618,0.4373,-0.7143,-0.3408,0.4406,-0.224,-0.1394,-0.3221,0.1951,-0.7116,0.3775,0.2357,0.0705,-0.5664,0.9198,-0.1901,0.2883,-0.8469,-0.6682,-0.5748,0.2544,0.0877,0.5916,-0.1276,0.1955,1.32,0.0226,0.1546,0.1468,-0.2229,-0.4627,-0.3557,0.4195,-0.4382,0.7608,0.1199,-0.3689,-0.2841,0.2528,0.2366,0.0358,0.4642,-0.311,0.3632,0.6904,0.1864,0.0606,0.3972,0.0134,0.6527,0.2847,-2.0302,0.5684,0.358,0.7779,0.492,0.899,0.0935,0.5824,-0.2857,-0.0394,0.2224,0.1246,0.2033,-0.0913,0.1049,0.0047,0.3834,0.4087,1.0941,0.4289,0.6843,1.7105,0.5128,0.483,-0.0532,-0.2935,-0.1174,-0.3503,-0.2371,0.6311,1.0968,0.5366,0.4528,0.3266,0.5673,0.2535,0.1393,-0.0612,-0.1864,-0.4188,-0.5465,-0.158,0.4527,-0.8607,0.0861,-0.6847,0.7574,0.3074,-0.8136,-0.2569,-0.0897,-0.0915,-0.3339,-0.3608,0.0806,-0.7962,-1.8126,-0.1259,-0.1459,0.1548,-0.3434,-1.0816,-1.6699,-0.1124,0.5028,-0.62,-0.5051,-0.0947,-0.4124,0.1212,0.2376,0.6907,-0.3118,-0.1372,-1.4408,0.453,-0.4665,-0.6595,-0.2808,-0.1048,-0.5468,0.7082,-0.0313,0.083,-0.0664,0.267,-1.0089,-1.3248,0.5029,-0.1618,0.1777,-0.1237,1.0562,0.2577,0.3437,0.3578,0.2127,-1.0227,0.2334,0.555,-0.9365,-0.0384,0.0141,-0.6996,1.1529,0.6867,-0.5271,0.6107,0.3825,0.599,-0.6035,-0.5655
"ENSG00000197147.13_LRRC8B",0.52,-0.3384,-0.0332,-0.2573,-0.1524,-0.5409,-0.039,0.5679,-0.7896,-0.2583,-0.0477,-0.1133,0.2499,0.6955,0.1044,-0.7598,0.1966,-0.0556,-0.168,0.5262,0.3954,-0.4746,-0.1562,0.2827,-0.1555,-0.3654,-0.9141,-0.7927,-0.1923,-0.1354,-0.3916,0.6351,0.2692,0.4395,0.0435,0.0546,-0.1129,-0.0481,-0.6496,0.4193,-0.4419,-0.419,0.3124,0.2457,-0.9791,0.875,-0.2854,-0.4816,0.5345,-0.0585,-0.0912,-0.0663,0.2002,-0.0266,0.2272,-0.1685,-0.2973,0.48,-0.1277,-0.5802,0.4377,0.0339,0.1347,0.4711,-0.1141,-0.6387,0.1285,-0.0398,-0.1564,-0.3198,0.3272,1.28,0.8423,-0.8322,0.4934,-0.1627,0.9178,1.6611,0.2207,-0.3497,2.3753,0.126,-0.2942,-0.1692,-0.2985,-1.0876,0.4805,-0.0106,-0.0332,0.1767,2.0152,-0.3625,0.1555,0.4982,-0.3968,1.0319,-0.7654,0.0532,0.6327,-0.1659,-0.7509,0.6196,-0.3275,0.0383,1.1115,0.506,0.0357,0.0027,-0.5434,0.5165,-0.839,-0.358,-0.5618,-0.3695,0.0577,0.112,0.1647,-0.3815,0.113,-0.1823,-0.1693,-0.3766,-0.3552,-0.1567,-0.6938,0.2007,-0.2831,-0.37,0.53,0.5244,-0.2632,1.1874,0.0359,-0.5351,0.7895,0.59,0.3083,1.6545,-0.5692,-0.9805,-0.2092,-0.9997,0.7747,-0.3399,-0.2879,-0.179,0.0908,-0.0729,-0.0675,0.2124,-0.1338,-0.3088,-0.5174,-0.2957,-0.1228,-0.2547,0.2711,-0.4567,-0.0875,0.0124,0.0938,0.4878,-0.4829,-0.2498,-0.1694,0.3909,-0.607,0.0975,0.1051,-0.0815,0.0833,-0.3769,-0.7585,-0.1352,-0.2269,-0.5653,0.0939,0.189,-0.1106,-0.1654,0.0024,0.4192,0.441,0.4666,-0.0379,-0.0782,-0.4905
"ENSG00000171488.14_LRRC8C",1.4159,-0.1688,0.465,-0.4878,-0.1517,-0.6467,-0.9793,0.3975,0.1698,0.2517,-0.6924,0.0796,0.5622,0.3558,0.1508,-1.0373,1.0945,-1.3073,1.1171,1.2231,0.4724,0.3678,-0.0565,-0.192,-0.2622,0.339,-0.4815,-0.7941,0.1199,0.7954,-0.084,1.2426,0.6214,-0.3359,0.1832,0.3664,0.0505,-0.6698,-0.8224,-1.037,-0.9267,0.2204,0.8767,-0.0514,-1.3021,1.5059,0.0736,0.2722,0.2992,-0.3923,0.9205,-0.92,-0.4996,-0.576,-0.7846,-0.0226,-0.0395,1.3214,0.3682,0.3149,0.4404,-0.6934,0.7384,0.3203,-2.0244,-0.5787,-0.6253,-0.8816,-0.5494,-0.4522,-0.6571,0.7398,1.0532,-0.1494,0.5771,-1.5251,0.9572,2.1651,4e-04,-0.3872,1.7372,0.4517,0.1738,-0.835,-0.5358,-0.1962,-0.9637,0.5733,0.3831,0.6469,0.9027,-0.2434,-0.0227,0.6944,0.301,1.2022,-0.1013,-0.4361,0.2719,0.1355,-1.0536,0.6346,0.2527,0.5011,1.0633,1.0439,-0.009,0.3405,-0.263,0.8439,-1.2686,0.3085,-0.5024,-0.8241,-0.1003,-0.2091,-0.3801,0,-1.7185,-0.7561,-0.1665,0.3277,0.2218,0.0051,-1.0495,0.4685,0.5112,-0.0069,1.7422,-0.4427,0.2053,-0.7701,-0.8914,-0.4226,1.3091,0.7121,-0.8842,-1.1783,-1.2835,-0.4885,-0.1899,-0.8032,0.9915,0.2174,-0.6808,0.3475,0.5598,-0.7741,-0.2144,-0.952,0.3608,-0.1896,-0.935,-0.277,-0.088,0.0684,0.9065,-0.3353,-0.5764,0.2057,0.2093,-1.6127,-0.2637,-0.0803,-0.4645,0.1723,-0.3203,0.5281,-0.1022,0.595,0.5296,-0.0876,-1.0886,-0.3073,0.4559,0.3436,-0.1557,-0.4269,-0.1745,0.542,-0.7337,0.7467,1.4498,0.7356,0.7474,0.4702,-0.0736
"ENSG00000171492.14_LRRC8D",-0.1858,0.35,-0.3901,0.0083,-0.0546,-0.1374,-0.2855,0.9564,0.0043,0.1064,0.4671,0.3079,0.2333,0.3646,-0.062,-1.486,0.6027,-0.8454,0.3084,0.2162,0.3941,-0.1033,0.5971,0.3505,-0.4324,0.3563,-0.2059,0.4276,0.2011,0.3778,-0.2444,-0.2353,-0.0923,-0.1076,0.0424,-0.4856,0.1105,0.1278,-0.3171,-0.7252,-0.5285,0.3261,0.0542,0.6561,-0.2874,0.223,0.0011,-0.2091,0.3487,-1.6394,-0.0528,-0.4447,0.0981,0.196,0.216,0.3522,0.3247,0.0391,0.373,0.0507,0.37,-0.0085,0.4171,0.699,-1.8648,0.0217,-0.1812,0.3406,-0.3439,-0.9693,-0.586,0.277,0.5043,-0.1716,0.9947,-1.021,0.4081,0.0264,0.4201,-0.0321,0.2899,0.2993,-0.0824,-0.1238,0.1573,-0.2421,-1.3523,-0.666,-0.092,0.6436,0.2596,0.0355,-0.6324,0.3378,0.479,0.1314,0.2904,-0.0686,0.3267,0.3854,-0.263,0.3039,0.1058,0.7339,0.1744,0.3119,-0.8618,0.2816,0.0496,0.1864,-1.5715,-0.3089,-0.0729,-0.2448,0.6429,0.1621,0.3869,0.5987,-0.4278,-0.5374,-0.015,-0.2122,-0.0305,0.3381,-0.4125,0.0998,-0.4409,0.1826,0.207,-0.6356,0.2672,-2.0486,-0.5132,-0.9183,0.5531,0.2613,-0.4961,-1.7397,-0.5396,-0.8874,0.1864,0.1267,0.4255,0.6005,0.1233,-0.0429,0.42,0.1728,0.2782,0.4672,0.3368,0.021,0.0023,0.1336,0.4134,-0.0698,-0.0182,0.7068,0.0767,0.2569,0.1901,-1.3855,0.245,0.3385,-0.237,-0.05,-0.2903,0.2187,-0.2471,0.0535,-0.2448,0.3619,-0.319,0.1542,0.1303,0.2021,0.4114,0.2254,0.6514,0.572,-0.1129,0.504,0.2377,0.515,-0.0166,0.3004,0.016
"ENSG00000223745.7_CCDC18-AS1",0.0722,-0.2187,0.2867,-0.044,-0.7305,0.7499,-0.1185,-0.0696,-0.1527,0.1776,-0.8354,0.0556,-0.4214,-0.3701,0.3021,-1.7631,0.4088,-0.7112,-0.3636,0.7443,0.2446,0.854,0.7241,-0.8831,-0.0909,0.0108,0.4906,-0.3877,0.1584,0.2953,-1.3908,-0.0706,0.2596,-0.0942,0.0481,0.0369,0.9446,-0.8879,0.6889,0.8586,-0.2476,-0.1692,0.7802,0.5508,0.8702,0.5782,0.8724,-0.3137,-0.2091,0.3374,-0.1059,-1.0059,-0.2132,-0.0544,-0.1188,-0.4369,-0.0014,0.2934,-0.1119,-0.5089,0.4341,-0.4357,0.5892,0.7277,0.413,0.4525,0.7083,-0.3147,0.7042,-0.0933,0.0495,1.2445,-0.4427,0.538,-0.1542,-1.393,-0.4839,0.0294,-0.2255,0.4582,-1.0872,-0.4853,0.6568,-0.373,-0.0305,-0.2182,1.2067,0.962,0.5314,0.3826,-0.4594,0.5156,1.0422,0.0646,0.0158,0.2345,1.0499,0.0491,0.2804,0.3754,0.0663,0.5442,0.8769,-0.2173,0.0371,0.4538,0.9533,0.6618,0.3067,-0.3039,-0.6364,-0.2724,-1.3699,-0.2615,-0.0803,0.1746,-0.8252,0.0618,0.4332,0.9139,0.3968,0.1133,0.376,-0.0997,0.2225,0.3353,-0.0752,0.1374,0.069,-0.66,0.0408,0.0737,-1.2555,0.4341,-0.1855,0.5938,-1.0874,0.6447,-0.2846,-0.1194,-1.0118,-0.6607,0.5137,-0.1713,-0.0701,-0.0697,0.0044,-0.3165,0.5463,0.0461,-1.6907,-1.0295,0.3344,-0.7137,0.291,0.4309,-0.1938,0.2736,0.4262,0.5189,-0.3593,-0.4708,-0.194,-0.8286,-0.5099,-0.2014,0.3843,-0.571,0.6379,0.1758,1.0408,-0.0223,-0.0828,0.1266,-0.9647,0.2098,0.0093,-0.9254,-0.1017,-1.6744,-0.1752,-0.5402,0.0353,0.1369,-1.1737,0.4341,-0.1527
